"SafeStage — Synthetic User Behaviour Dataset (2,000 Rows)",,,,,,,,,,,,,,,,
◆ DEMOGRAPHICS,,,,◆ IDENTITY VERIFICATION,,,◆ BEHAVIOURAL METRICS,,,◆ FINANCIALS,,◆ PREFERENCE & INTENT,,,◆ LABELS,
U1773,23,Toronto/Canada,802,Yes,Driver's License,6.9,7031,Natural,4,517.44,644.37,Sports,Face-value Resale,Bot Competition,Yes,Fan
U2796,26,Toronto/Canada,155,No,None,1.1,222,Linear,40,7002.04,15000,Music,Early Access,Bot Competition,Maybe,Bot
U2263,38,Sydney/Australia,158,Yes,Passport,5.73,2735,Linear,15,3156.33,7140.23,Music,Early Access,Interface Complexity,No,Scalper
U2889,24,Toronto/Canada,42,No,None,1.5,126,Linear,62,4422.41,12986.44,Sports,Early Access,Interface Complexity,No,Bot
U2189,28,Madrid/Spain,238,No,None,3.68,1110,Erratic,23,2628.28,5969.05,Music,Early Access,Interface Complexity,Maybe,Scalper
U2023,39,Amsterdam/Netherlands,328,No,None,0.5,2193,Erratic,17,2744.99,6398.49,Sports,Early Access,Interface Complexity,Maybe,Scalper
U1121,30,Los Angeles/USA,1309,Yes,State ID,4.65,6726,Natural,4,517.79,728.81,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1906,18,Sydney/Australia,597,Yes,Passport,2.66,11643,Natural,6,50,80,Theatre,Early Access,Bot Competition,Yes,Fan
U2307,32,London/UK,673,Yes,Passport,3.01,2354,Erratic,10,3057.12,6516.78,Music,Early Access,High Prices,Maybe,Scalper
U2389,29,Chicago/USA,383,Yes,State ID,2.55,2902,Linear,10,2435.85,5387.93,Sports,Early Access,Bot Competition,Maybe,Scalper
U2335,30,Austin/USA,883,Yes,State ID,1.86,1296,Linear,22,3115.54,6729.29,Theatre,Early Access,High Prices,No,Scalper
U1511,28,New York/USA,904,Yes,National ID,5.45,10234,Natural,2,392.89,488.76,Sports,Group Booking,High Prices,Yes,Fan
U1180,28,Austin/USA,807,Yes,State ID,3.6,8597,Natural,6,82.47,124.66,Theatre,Face-value Resale,High Prices,Yes,Fan
U2094,29,Vancouver/Canada,635,No,None,3.87,2240,Erratic,28,3249.32,7033.58,Sports,Face-value Resale,High Prices,No,Scalper
U2919,27,Los Angeles/USA,128,No,None,0.77,72,Linear,48,5539.18,15000,Sports,Early Access,High Prices,No,Bot
U2560,35,Austin/USA,555,Yes,Passport,6.13,3578,Linear,18,2367.12,5269.73,Sports,Group Booking,Interface Complexity,Maybe,Scalper
U2184,24,São Paulo/Brazil,663,No,None,4.76,2764,Linear,24,3578.43,7707.09,Theatre,Early Access,Interface Complexity,Maybe,Scalper
U1816,35,São Paulo/Brazil,457,Yes,Passport,5.77,6469,Natural,3,217.7,335.02,Music,Group Booking,High Prices,Yes,Fan
U2934,20,New York/USA,103,Yes,State ID,0.39,50,Linear,37,3654.85,11243.1,Theatre,Early Access,Bot Competition,No,Bot
U1864,40,Melbourne/Australia,880,Yes,Passport,3.95,10339,Natural,4,429.44,663.6,Music,Face-value Resale,Bot Competition,Yes,Fan
U2083,29,Los Angeles/USA,538,Yes,State ID,2.11,2595,Linear,12,3893.65,8000,Sports,Early Access,Interface Complexity,Maybe,Scalper
U2209,37,Sydney/Australia,621,No,None,2.61,2763,Erratic,18,2794.6,5811.63,Sports,Early Access,Interface Complexity,No,Scalper
U2981,26,Paris/France,131,No,None,0.84,340,Linear,48,6243.16,15000,Music,Early Access,Bot Competition,No,Bot
U2290,34,Austin/USA,189,Yes,Passport,4.51,2297,Linear,15,3044.75,6758.76,Music,Early Access,High Prices,Maybe,Scalper
U2739,31,Dubai/UAE,109,No,None,0.4,284,Linear,42,3793.92,11967.34,Theatre,Early Access,Bot Competition,No,Bot
U2771,18,Madrid/Spain,27,Yes,State ID,0.1,225,Linear,36,3900.23,11746.02,Sports,Early Access,Interface Complexity,No,Bot
U1381,27,Berlin/Germany,470,Yes,Passport,3.87,9034,Natural,6,220.71,279.75,Music,Face-value Resale,High Prices,Yes,Fan
U1605,28,Chicago/USA,944,Yes,State ID,3.59,8325,Natural,7,279.94,485.66,Sports,Face-value Resale,High Prices,Yes,Fan
U2635,21,Madrid/Spain,67,No,None,0.36,206,Linear,63,2823.92,8301.26,Sports,Group Booking,Bot Competition,No,Bot
U2735,28,São Paulo/Brazil,107,No,None,0.65,184,Linear,64,3338.24,9494.39,Music,Early Access,Bot Competition,Maybe,Bot
U1551,28,Vancouver/Canada,740,Yes,State ID,4.09,6863,Natural,2,67.68,80,Music,Face-value Resale,Bot Competition,Yes,Fan
U2172,35,London/UK,470,Yes,Passport,4.67,1686,Erratic,16,2701.78,6549.26,Sports,Early Access,Interface Complexity,Maybe,Scalper
U1252,33,Madrid/Spain,1066,Yes,National ID,3.4,6756,Natural,3,595.65,800,Music,Face-value Resale,High Prices,Yes,Fan
U2848,23,Mumbai/India,1,No,None,0.49,50,Linear,45,5572.17,15000,Theatre,Early Access,Bot Competition,Maybe,Bot
U2500,42,Seoul/South Korea,469,Yes,National ID,2.09,3634,Erratic,14,1918.49,4341,Sports,Face-value Resale,Bot Competition,No,Scalper
U1213,34,Madrid/Spain,1077,Yes,National ID,4.08,6365,Natural,4,698.82,800,Sports,Face-value Resale,Bot Competition,Maybe,Fan
U2465,36,Tokyo/Japan,876,Yes,Passport,4.04,1515,Erratic,18,2153.6,4053.42,Music,Early Access,High Prices,No,Scalper
U2698,18,Mumbai/India,149,No,None,0.16,150,Linear,33,4673.55,14457.23,Sports,Group Booking,Bot Competition,No,Bot
U2859,18,Mumbai/India,135,Yes,Driver's License,0.15,257,Linear,25,3481.13,10227.5,Theatre,Early Access,Bot Competition,No,Bot
U1331,20,Tokyo/Japan,1269,Yes,National ID,3.34,11871,Natural,3,706.3,800,Sports,Face-value Resale,Bot Competition,Maybe,Fan
U1433,18,Paris/France,1512,Yes,Driver's License,4.85,5858,Natural,4,451.71,579.05,Sports,Face-value Resale,High Prices,Yes,Fan
U1277,25,Dubai/UAE,954,Yes,Driver's License,5.21,6406,Natural,3,253.19,351.95,Sports,Group Booking,Interface Complexity,Yes,Fan
U2772,18,Paris/France,130,Yes,Passport,0.48,250,Linear,55,6045.85,15000,Sports,Early Access,Bot Competition,No,Bot
U2336,33,Paris/France,322,Yes,Driver's License,4.54,1930,Linear,16,3317.83,7744.79,Sports,Group Booking,Interface Complexity,Maybe,Scalper
U2613,31,Vancouver/Canada,180,No,None,0.72,252,Linear,41,4682.8,14097.53,Sports,Early Access,Bot Competition,No,Bot
U1292,19,London/UK,843,Yes,Driver's License,2.54,10814,Natural,5,504,800,Theatre,Early Access,Bot Competition,Yes,Fan
U1902,25,Paris/France,1198,Yes,National ID,5.19,7062,Natural,3,476.31,712.74,Music,Group Booking,Bot Competition,Yes,Fan
U1449,34,London/UK,708,Yes,Driver's License,4.76,7041,Natural,3,557.92,697.87,Music,Face-value Resale,Bot Competition,Maybe,Fan
U2990,26,Mexico City/Mexico,131,No,None,0.16,254,Linear,54,4378.97,12917.05,Music,Early Access,Bot Competition,No,Bot
U2687,28,Dubai/UAE,84,No,None,0.64,195,Linear,43,3632.74,11461.56,Sports,Early Access,Bot Competition,Maybe,Bot
U2549,27,London/UK,686,No,None,2.2,2266,Linear,20,3651.11,8000,Music,Early Access,Bot Competition,No,Scalper
U2731,29,Seoul/South Korea,164,Yes,Passport,0.77,324,Linear,39,4346.52,13029.94,Sports,Early Access,Bot Competition,No,Bot
U1304,31,Paris/France,967,Yes,Passport,5.33,4626,Natural,7,456.42,769.54,Music,Face-value Resale,Bot Competition,Maybe,Fan
U2512,39,Berlin/Germany,440,Yes,State ID,5.12,4677,Erratic,25,3446.79,7417.79,Music,Early Access,Bot Competition,No,Scalper
U2702,22,Melbourne/Australia,170,Yes,Driver's License,0.35,311,Linear,31,5074.2,15000,Music,Early Access,Bot Competition,No,Bot
U2866,19,Toronto/Canada,4,No,None,0.78,342,Linear,40,5979.44,15000,Music,Early Access,Interface Complexity,No,Bot
U1941,35,Mexico City/Mexico,759,Yes,Driver's License,3.54,10346,Natural,1,365.72,538.3,Sports,Early Access,Interface Complexity,Yes,Fan
U1068,27,Madrid/Spain,686,Yes,Driver's License,4.63,7162,Natural,7,50,157.32,Music,Group Booking,High Prices,Yes,Fan
U1020,32,Austin/USA,1041,Yes,National ID,4.41,5683,Natural,1,339.63,543.99,Sports,Group Booking,Interface Complexity,Yes,Fan
U1325,18,Dubai/UAE,1351,Yes,Driver's License,4.1,7270,Natural,2,368.15,628.89,Theatre,Early Access,Bot Competition,Maybe,Fan
U2285,37,Mexico City/Mexico,698,No,None,4.43,2689,Erratic,10,2060.58,4582.44,Theatre,Early Access,Interface Complexity,No,Scalper
U2824,21,Madrid/Spain,120,Yes,Driver's License,0.53,185,Linear,43,4152.62,13313.25,Music,Early Access,Bot Competition,No,Bot
U2434,33,Austin/USA,281,No,None,3.03,3975,Linear,10,2212.14,4713.38,Music,Early Access,High Prices,Maybe,Scalper
U2425,47,Austin/USA,312,No,None,3.03,3862,Erratic,20,2457.84,5469.63,Sports,Early Access,Interface Complexity,Maybe,Scalper
U2474,31,London/UK,461,Yes,National ID,6.69,3124,Linear,10,3599.44,7760.49,Music,Early Access,Interface Complexity,No,Scalper
U1055,22,Chicago/USA,784,Yes,Passport,5.71,6357,Natural,5,216.65,345.69,Music,Face-value Resale,High Prices,Maybe,Fan
U1964,18,Chicago/USA,809,Yes,National ID,6.4,8799,Natural,4,570.66,800,Theatre,Face-value Resale,Bot Competition,Yes,Fan
U1932,29,Paris/France,785,Yes,Passport,5.39,7366,Natural,4,307.36,448.7,Sports,Early Access,Bot Competition,Maybe,Fan
U2871,29,Paris/France,128,No,None,0.55,142,Linear,28,6517.6,15000,Sports,Early Access,Bot Competition,No,Bot
U1151,24,Mexico City/Mexico,1667,Yes,Driver's License,3.82,8261,Natural,7,781.1,800,Music,Early Access,High Prices,Maybe,Fan
U2655,22,Mexico City/Mexico,177,No,None,1.15,122,Linear,51,3313.55,10582.8,Sports,Early Access,Bot Competition,Maybe,Bot
U2122,44,Toronto/Canada,763,Yes,National ID,0.5,3603,Linear,11,3003.03,6724.86,Sports,Early Access,Interface Complexity,No,Scalper
U2664,30,New York/USA,119,No,None,0.65,134,Linear,45,5371.11,15000,Music,Early Access,Bot Competition,No,Bot
U2131,28,Dubai/UAE,374,Yes,Passport,0.5,4123,Erratic,30,3057.85,7020.45,Sports,Early Access,Interface Complexity,No,Scalper
U1744,42,Seoul/South Korea,442,Yes,Passport,3.12,9938,Natural,4,656.48,800,Music,Face-value Resale,High Prices,Yes,Fan
U2900,34,Paris/France,140,No,None,0.81,81,Linear,34,4114.62,12876.57,Music,Group Booking,Bot Competition,No,Bot
U1750,23,Berlin/Germany,787,Yes,State ID,4.44,8388,Natural,1,274.62,353.14,Music,Group Booking,Bot Competition,Yes,Fan
U1756,25,Tokyo/Japan,1000,Yes,Driver's License,4.15,5703,Natural,2,381.38,245.85,Sports,Face-value Resale,High Prices,Yes,Fan
U2049,38,Tokyo/Japan,284,Yes,State ID,4.68,2948,Linear,20,1340.97,2782.66,Music,Early Access,High Prices,Maybe,Scalper
U1812,18,Melbourne/Australia,1174,Yes,State ID,3.32,11839,Natural,2,458.31,640.81,Music,Early Access,Interface Complexity,Maybe,Fan
U1662,22,Madrid/Spain,234,Yes,Driver's License,2.82,7176,Natural,1,345.58,486.4,Music,Early Access,Bot Competition,Yes,Fan
U2558,29,Madrid/Spain,649,Yes,Passport,1.16,3553,Erratic,17,3131.34,6823.91,Sports,Face-value Resale,Interface Complexity,Maybe,Scalper
U2823,29,Seoul/South Korea,181,No,None,0.56,198,Linear,29,3406.71,11035.44,Theatre,Early Access,Bot Competition,No,Bot
U2107,34,Amsterdam/Netherlands,408,No,None,5.65,985,Erratic,11,3176.95,7455.57,Music,Early Access,Interface Complexity,No,Scalper
U1256,34,Tokyo/Japan,810,Yes,Driver's License,4.44,14351,Natural,1,683.55,800,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1935,31,Chicago/USA,1377,Yes,Passport,4.64,10410,Natural,5,341.66,365.61,Music,Face-value Resale,Interface Complexity,Yes,Fan
U1870,23,Singapore/Singapore,1054,Yes,Driver's License,3.01,6842,Natural,2,332.4,540.85,Music,Early Access,High Prices,Yes,Fan
U2840,29,Austin/USA,191,No,None,0.33,216,Linear,46,5001.22,15000,Music,Face-value Resale,Bot Competition,No,Bot
U1893,18,Madrid/Spain,1245,Yes,Passport,4.38,7893,Natural,4,278.15,425.92,Sports,Face-value Resale,Interface Complexity,Yes,Fan
U1874,22,London/UK,369,Yes,Passport,4.14,8958,Natural,3,370.34,420.52,Sports,Early Access,Bot Competition,Yes,Fan
U1614,30,Vancouver/Canada,757,Yes,Passport,2.93,5566,Natural,1,422.2,495.35,Theatre,Face-value Resale,Bot Competition,Maybe,Fan
U2404,29,Sydney/Australia,353,Yes,Driver's License,1.65,2431,Linear,10,2969.72,6630.51,Music,Early Access,Interface Complexity,Maybe,Scalper
U2101,28,Singapore/Singapore,889,No,None,2.02,3145,Linear,23,4083.89,8000,Sports,Group Booking,High Prices,No,Scalper
U1389,36,Mumbai/India,1038,Yes,Passport,3.08,8230,Natural,5,695.05,800,Theatre,Group Booking,High Prices,Yes,Fan
U1937,29,Mexico City/Mexico,1399,Yes,National ID,4.18,11106,Natural,4,235.54,477.6,Theatre,Face-value Resale,High Prices,Maybe,Fan
U1407,27,New York/USA,969,Yes,National ID,5.88,5856,Natural,7,144.52,332.7,Sports,Face-value Resale,High Prices,Yes,Fan
U2316,22,Sydney/Australia,417,No,None,2.19,2744,Erratic,14,2577.3,5654.55,Theatre,Early Access,Interface Complexity,No,Scalper
U1795,29,Amsterdam/Netherlands,791,Yes,Passport,5.64,9486,Natural,2,276.92,221.9,Theatre,Group Booking,Bot Competition,Yes,Fan
U1716,22,Austin/USA,1171,Yes,National ID,4.23,11391,Natural,2,230.15,316.83,Theatre,Group Booking,Bot Competition,Yes,Fan
U2135,22,Melbourne/Australia,339,Yes,Driver's License,0.5,3051,Linear,12,2129.45,4387.59,Music,Early Access,Interface Complexity,Maybe,Scalper
U2649,25,Singapore/Singapore,107,No,None,0.59,79,Linear,56,4250.03,12232.68,Sports,Early Access,Bot Competition,No,Bot
U2024,34,Sydney/Australia,415,Yes,State ID,4.57,4327,Erratic,27,2802.05,6217.88,Sports,Group Booking,High Prices,No,Scalper
U2056,40,Amsterdam/Netherlands,747,No,None,5.37,3074,Erratic,29,1699.44,3646.53,Sports,Early Access,Interface Complexity,Maybe,Scalper
U2743,18,Toronto/Canada,125,Yes,Driver's License,0.57,353,Linear,53,5713.78,15000,Sports,Early Access,Bot Competition,Maybe,Bot
U1247,24,Dubai/UAE,1415,Yes,National ID,6.89,5883,Natural,2,574.73,773.65,Sports,Group Booking,High Prices,Yes,Fan
U1146,38,Dubai/UAE,1019,Yes,Passport,3.72,6478,Natural,5,642.89,800,Music,Group Booking,Bot Competition,Yes,Fan
U2856,27,Mumbai/India,86,No,None,0.49,180,Linear,53,6124.45,15000,Sports,Early Access,Bot Competition,Maybe,Bot
U2153,32,Seoul/South Korea,357,No,None,0.5,2261,Linear,16,2626.98,5679.98,Music,Early Access,Bot Competition,Maybe,Scalper
U2987,27,Singapore/Singapore,160,No,None,0.53,50,Linear,40,5192.02,15000,Sports,Early Access,Bot Competition,Maybe,Bot
U1623,27,Mexico City/Mexico,467,Yes,Passport,5.65,10619,Natural,1,596.12,769.73,Music,Face-value Resale,Interface Complexity,Yes,Fan
U2958,21,New York/USA,157,No,None,0.36,50,Linear,41,4230.89,13027.3,Theatre,Early Access,Interface Complexity,No,Bot
U1461,26,Mumbai/India,617,Yes,State ID,4.8,5794,Natural,6,369.02,471.38,Music,Early Access,Bot Competition,Yes,Fan
U1487,18,Mexico City/Mexico,857,Yes,National ID,5.82,3000,Natural,7,622.03,800,Sports,Early Access,High Prices,Maybe,Fan
U2892,29,Madrid/Spain,256,Yes,Passport,0.83,50,Linear,34,3660.22,10852.58,Sports,Early Access,Bot Competition,Maybe,Bot
U1091,29,Vancouver/Canada,1283,Yes,Driver's License,4.73,7916,Natural,1,554.33,800,Music,Face-value Resale,Bot Competition,Yes,Fan
U2230,22,Melbourne/Australia,304,No,None,4.46,1934,Erratic,18,3977.85,8000,Music,Early Access,Bot Competition,No,Scalper
U1493,30,Austin/USA,1617,Yes,State ID,2,9508,Natural,3,522.02,678.24,Sports,Group Booking,Bot Competition,Yes,Fan
U1171,35,Chicago/USA,496,Yes,Passport,4.65,12647,Natural,1,298.01,458.33,Theatre,Early Access,Bot Competition,Yes,Fan
U2646,29,Tokyo/Japan,96,No,None,0.68,140,Linear,48,3223.14,9580.13,Theatre,Early Access,Bot Competition,No,Bot
U1057,32,Austin/USA,773,Yes,State ID,4.85,12988,Natural,5,361.32,601.95,Music,Face-value Resale,Bot Competition,Yes,Fan
U1405,38,Seoul/South Korea,783,Yes,Passport,3.18,11351,Natural,3,459.88,742.61,Music,Early Access,High Prices,Yes,Fan
U2266,38,Amsterdam/Netherlands,377,Yes,Driver's License,3.16,3659,Erratic,19,4967.61,8000,Music,Early Access,Interface Complexity,Maybe,Scalper
U1600,48,Melbourne/Australia,1160,Yes,Passport,3.9,9241,Natural,1,453.29,670.83,Music,Group Booking,High Prices,Yes,Fan
U2016,40,Paris/France,726,No,None,6.09,1965,Erratic,26,2927.6,6046.46,Theatre,Early Access,Interface Complexity,Maybe,Scalper
U2371,28,Chicago/USA,708,Yes,State ID,2.26,2590,Erratic,25,2970.79,6593.31,Sports,Early Access,High Prices,No,Scalper
U1098,18,Berlin/Germany,766,Yes,State ID,2.23,6669,Natural,1,134.9,249.69,Music,Early Access,Bot Competition,Yes,Fan
U1827,29,São Paulo/Brazil,991,Yes,National ID,4.61,10907,Natural,4,157.52,350.94,Sports,Face-value Resale,High Prices,Maybe,Fan
U2141,40,Vancouver/Canada,621,Yes,National ID,2.22,2806,Linear,19,1641.05,3804.21,Sports,Face-value Resale,Interface Complexity,No,Scalper
U2226,32,Austin/USA,529,No,None,2.36,3317,Erratic,10,1972.9,4406.42,Theatre,Early Access,Interface Complexity,No,Scalper
U2869,18,Singapore/Singapore,28,No,None,0.77,171,Linear,45,5666.45,15000,Music,Early Access,Bot Competition,No,Bot
U1480,32,Mumbai/India,1254,Yes,National ID,7.31,9976,Natural,5,443.52,609.61,Sports,Face-value Resale,High Prices,Yes,Fan
U1324,34,Dubai/UAE,625,Yes,National ID,6.13,10725,Natural,4,434.33,652.39,Music,Face-value Resale,Bot Competition,Yes,Fan
U2218,24,New York/USA,532,No,None,5.42,3369,Erratic,20,2519.96,5527.38,Sports,Face-value Resale,High Prices,No,Scalper
U2468,33,Dubai/UAE,148,Yes,Passport,3.47,1310,Erratic,15,3301.5,7610.02,Music,Early Access,Interface Complexity,No,Scalper
U2945,25,Seoul/South Korea,114,No,None,0.41,247,Linear,34,3489.81,11061.57,Music,Early Access,Interface Complexity,No,Bot
U2479,29,Sydney/Australia,558,Yes,State ID,1.7,3629,Erratic,16,3189.1,6929.74,Sports,Face-value Resale,High Prices,No,Scalper
U2553,35,Chicago/USA,229,No,None,3.62,1891,Linear,14,2139.93,5151.06,Sports,Early Access,Bot Competition,Maybe,Scalper
U2778,23,Melbourne/Australia,86,No,None,0.7,333,Linear,62,5166.35,15000,Music,Early Access,Bot Competition,No,Bot
U2575,36,London/UK,480,No,None,3.75,2829,Erratic,22,2818.91,5779.07,Sports,Early Access,Interface Complexity,Maybe,Scalper
U1099,21,Vancouver/Canada,885,Yes,Driver's License,4.5,4904,Natural,7,577.93,791.42,Sports,Group Booking,High Prices,Yes,Fan
U2993,35,London/UK,42,No,None,0.49,231,Linear,36,4513.49,13925.52,Sports,Early Access,Interface Complexity,No,Bot
U1425,18,Amsterdam/Netherlands,837,Yes,Passport,5.95,3982,Natural,1,442.73,541.05,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1297,31,Singapore/Singapore,527,Yes,Driver's License,4.9,7411,Natural,1,265.13,338.09,Sports,Group Booking,High Prices,Yes,Fan
U1738,35,Madrid/Spain,719,Yes,Passport,4.5,5151,Natural,2,327.1,627.9,Music,Face-value Resale,Interface Complexity,Yes,Fan
U2878,28,Mumbai/India,127,No,None,1.02,143,Linear,29,4857.2,14465.04,Sports,Early Access,Bot Competition,No,Bot
U1903,34,Mumbai/India,1220,Yes,State ID,5.63,7640,Natural,1,240.19,358.08,Music,Face-value Resale,High Prices,Yes,Fan
U1602,26,Mumbai/India,979,Yes,State ID,4.45,9663,Natural,4,390.71,477.3,Theatre,Group Booking,Bot Competition,Yes,Fan
U2000,20,Berlin/Germany,643,Yes,Driver's License,4.17,5169,Natural,3,205.19,140.61,Sports,Group Booking,Interface Complexity,Yes,Fan
U2798,24,São Paulo/Brazil,116,No,None,0.7,116,Linear,57,4683.83,14742.68,Music,Early Access,Bot Competition,No,Bot
U1396,29,Toronto/Canada,1393,Yes,National ID,4.93,5641,Natural,3,423.24,630.35,Music,Face-value Resale,Bot Competition,Yes,Fan
U1427,25,Seoul/South Korea,1201,Yes,State ID,3.15,10619,Natural,4,359.42,501.6,Sports,Group Booking,Bot Competition,Yes,Fan
U2794,20,Berlin/Germany,234,No,None,0.4,242,Linear,66,3943.44,12032.83,Sports,Early Access,Bot Competition,No,Bot
U2584,39,Amsterdam/Netherlands,575,Yes,State ID,2.67,4039,Erratic,13,3007.41,6644.72,Music,Early Access,Bot Competition,No,Scalper
U2550,34,Mumbai/India,484,No,None,3.12,3517,Linear,18,2698.79,6484.35,Music,Early Access,Interface Complexity,Maybe,Scalper
U2556,37,Amsterdam/Netherlands,202,Yes,Driver's License,3.3,5006,Erratic,12,2843.71,6421.33,Music,Early Access,Interface Complexity,No,Scalper
U2039,30,Seoul/South Korea,60,Yes,State ID,4.91,1607,Erratic,19,2540.98,5506.35,Sports,Face-value Resale,Interface Complexity,No,Scalper
U1253,23,Mumbai/India,522,Yes,State ID,4.24,7028,Natural,8,497.93,586.89,Sports,Early Access,Bot Competition,Yes,Fan
U1239,21,Toronto/Canada,598,Yes,Driver's License,4.75,7973,Natural,2,451.83,588.83,Music,Group Booking,Bot Competition,Yes,Fan
U2145,45,Madrid/Spain,503,No,None,2.63,2042,Erratic,10,2267.8,5507.95,Theatre,Early Access,Bot Competition,No,Scalper
U1845,18,Dubai/UAE,905,Yes,Driver's License,5.98,9118,Natural,4,109.99,96.35,Theatre,Group Booking,Interface Complexity,Yes,Fan
U2310,36,Amsterdam/Netherlands,264,Yes,National ID,3.94,1768,Erratic,22,2578.83,5007.43,Theatre,Group Booking,Interface Complexity,Maybe,Scalper
U1846,32,Mexico City/Mexico,904,Yes,National ID,3.32,3000,Natural,4,451.31,582.38,Music,Face-value Resale,Interface Complexity,Yes,Fan
U1555,34,Mexico City/Mexico,1429,Yes,Passport,5.75,8032,Natural,2,50,80,Sports,Early Access,High Prices,Yes,Fan
U2221,22,New York/USA,471,Yes,Driver's License,3.59,3665,Linear,16,2821.59,6002.48,Music,Early Access,High Prices,No,Scalper
U2370,28,São Paulo/Brazil,694,Yes,State ID,1.09,1890,Linear,18,2500.52,6102.03,Music,Face-value Resale,High Prices,No,Scalper
U1546,18,Paris/France,528,Yes,Passport,2.7,5935,Natural,2,555.62,728.7,Sports,Face-value Resale,Bot Competition,Maybe,Fan
U1251,30,Mumbai/India,1795,Yes,National ID,4.94,7016,Natural,5,506.88,743.24,Music,Group Booking,High Prices,Yes,Fan
U1740,22,Austin/USA,965,Yes,Driver's License,3.94,4856,Natural,4,740.92,800,Music,Face-value Resale,High Prices,Yes,Fan
U1965,18,Vancouver/Canada,961,Yes,State ID,4.73,11991,Natural,1,311.84,502.39,Sports,Early Access,High Prices,Yes,Fan
U2670,21,Toronto/Canada,77,No,None,0.88,158,Linear,25,2896.32,8250.39,Music,Early Access,Bot Competition,No,Bot
U1199,36,Tokyo/Japan,1053,Yes,Passport,5.37,9090,Natural,2,497.75,760.88,Music,Early Access,Interface Complexity,Yes,Fan
U2437,32,Seoul/South Korea,448,No,None,4.14,3909,Erratic,19,2797.94,5837.81,Theatre,Early Access,High Prices,No,Scalper
U2510,34,Mexico City/Mexico,537,Yes,State ID,4.55,1180,Linear,19,3271.78,6742.53,Theatre,Early Access,Interface Complexity,Maybe,Scalper
U2455,45,Vancouver/Canada,475,Yes,Passport,1.62,2950,Linear,11,4093.36,8000,Music,Face-value Resale,Interface Complexity,No,Scalper
U1898,40,Los Angeles/USA,1359,Yes,Passport,5,12420,Natural,5,611.19,800,Theatre,Group Booking,Bot Competition,Yes,Fan
U2918,35,Vancouver/Canada,231,Yes,State ID,0.1,114,Linear,36,4255.59,12479.32,Theatre,Early Access,Bot Competition,No,Bot
U2736,20,Amsterdam/Netherlands,108,No,None,0.7,202,Linear,71,4035.62,12891.48,Music,Face-value Resale,Bot Competition,Maybe,Bot
U2315,31,Amsterdam/Netherlands,450,Yes,Driver's License,0.5,2927,Erratic,13,2865.73,6394.66,Theatre,Early Access,High Prices,No,Scalper
U1990,28,Singapore/Singapore,1051,Yes,National ID,3.85,3000,Natural,3,365.22,486.27,Music,Group Booking,High Prices,Yes,Fan
U2041,35,London/UK,129,Yes,National ID,2.85,3057,Erratic,16,3585.54,8000,Theatre,Early Access,Bot Competition,Maybe,Scalper
U2183,44,Melbourne/Australia,1089,Yes,Driver's License,4,3028,Linear,20,2613.65,6027.82,Music,Early Access,Interface Complexity,No,Scalper
U1244,31,Chicago/USA,664,Yes,Driver's License,3.67,5509,Natural,2,407.91,513.81,Music,Group Booking,Bot Competition,Yes,Fan
U1067,26,Madrid/Spain,568,Yes,National ID,7.59,7948,Natural,4,415.66,597.77,Sports,Face-value Resale,High Prices,Yes,Fan
U2909,26,Mexico City/Mexico,121,No,None,0.31,154,Linear,62,5349.38,15000,Music,Early Access,Bot Competition,No,Bot
U1934,19,Paris/France,1330,Yes,State ID,2.27,6087,Natural,3,494.22,800,Music,Face-value Resale,Bot Competition,Yes,Fan
U1360,34,Los Angeles/USA,862,Yes,Passport,5.05,6557,Natural,3,241.81,335.73,Sports,Face-value Resale,Interface Complexity,Maybe,Fan
U1096,30,Madrid/Spain,524,Yes,Passport,6.23,7594,Natural,6,481.69,710.91,Music,Early Access,Bot Competition,Yes,Fan
U2656,22,Sydney/Australia,174,No,None,0.8,84,Linear,56,4955.8,15000,Sports,Early Access,Bot Competition,Maybe,Bot
U2529,37,Tokyo/Japan,693,No,None,1.48,3050,Linear,17,2943.63,6115.53,Sports,Face-value Resale,High Prices,Maybe,Scalper
U2497,28,Amsterdam/Netherlands,379,Yes,Driver's License,0.89,3371,Linear,20,2899.83,6705.65,Sports,Early Access,Interface Complexity,Maybe,Scalper
U2950,29,Amsterdam/Netherlands,152,No,None,0.16,171,Linear,51,6710.25,15000,Music,Early Access,High Prices,No,Bot
U2602,22,Seoul/South Korea,72,No,None,0.13,140,Linear,25,4157.89,12237.42,Sports,Early Access,Bot Competition,No,Bot
U2964,24,Amsterdam/Netherlands,122,Yes,Driver's License,0.56,136,Linear,60,4677.56,13593.17,Sports,Early Access,Bot Competition,No,Bot
U1522,35,Paris/France,667,Yes,Passport,4.59,6197,Natural,5,604.84,800,Music,Group Booking,Bot Competition,Yes,Fan
U2855,24,Los Angeles/USA,1,No,None,0.56,205,Linear,49,6013.37,15000,Music,Early Access,Bot Competition,No,Bot
U2555,28,Paris/France,378,Yes,National ID,3.96,2151,Linear,21,3981.71,8000,Sports,Early Access,Interface Complexity,No,Scalper
U2433,25,Seoul/South Korea,532,Yes,State ID,4.29,2453,Linear,25,2513.93,5707.73,Sports,Early Access,Interface Complexity,No,Scalper
